experiment,feature_mode,use_se,seed,n_mels,n_mfcc,fmin,fmax,n_fft,hop_length,win_length,sr,dur_s,boundary_loss_weight,boundary_warmup_epochs,fusion_type,aux_gate_init,best_epoch,best_val_macro_f1,test_acc,test_macro_f1
cv5_boundary_fold1_mctafd_no_se_w02_seed42,mctafd,False,42,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,7,0.924812030075188,0.875,0.8739024390243901
cv5_boundary_fold1_mctafd_no_se_w02_seed42,mctafd,False,42,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,7,0.924812030075188,0.875,0.8739024390243901
cv5_boundary_fold1_mctafd_no_se_w02_seed42,mctafd,False,42,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,0.2,5.0,direct,-4.0,7,0.924812030075188,0.875,0.8739024390243901
cv5_boundary_fold1_mctafd_no_se_w05_seed2024,mctafd,False,2024,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,17,0.95,0.8869047619047619,0.8875076547269842
cv5_boundary_fold1_mctafd_no_se_w05_seed2024,mctafd,False,2024,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,17,0.95,0.8869047619047619,0.8875076547269842
cv5_boundary_fold1_mctafd_no_se_w05_seed2024,mctafd,False,2024,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,0.5,5.0,,,17,0.95,0.8869047619047619,0.8875076547269842
cv5_boundary_fold1_mctafd_no_se_w05_seed3407,mctafd,False,3407,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,0.5,5.0,,,22,0.9583217560433455,0.9047619047619048,0.9027777777777778
cv5_boundary_fold1_mctafd_no_se_w05_seed3407,mctafd,False,3407,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,22,0.9583217560433455,0.9047619047619048,0.9027777777777778
cv5_boundary_fold1_mctafd_no_se_w05_seed3407,mctafd,False,3407,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,22,0.9583217560433455,0.9047619047619048,0.9027777777777778
cv5_boundary_fold1_mctafd_no_se_w05_seed42,mctafd,False,42,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,7,0.9333333333333333,0.8988095238095238,0.8990773264730618
cv5_boundary_fold1_mctafd_no_se_w05_seed42,mctafd,False,42,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,0.5,5.0,,,7,0.9333333333333333,0.8988095238095238,0.8990773264730618
cv5_boundary_fold1_mctafd_no_se_w05_seed42,mctafd,False,42,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,7,0.9333333333333333,0.8988095238095238,0.8990773264730618
cv5_boundary_fold1_mctafd_no_se_w10_seed2024,mctafd,False,2024,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,1.0,5.0,,,21,0.9416504584606835,0.8988095238095238,0.8997847919655666
cv5_boundary_fold1_mctafd_no_se_w10_seed2024,mctafd,False,2024,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,21,0.9416504584606835,0.8988095238095238,0.8997847919655666
